url,zip_code,locality,price,type_transaction,subtype_transaction,type_of_property,subtype_of_property,energy_class,heating_type,construction_year,number_of_frontages,surface_land,surface_livable_space,number_floors,building_condition,surroundings_type,furnished,nb_of_rooms,rooms_living_room,rooms_dining_room,rooms_kitchen_type_installed,rooms_kitchen_type_kitchen_surface,rooms_bedrooms_number,rooms_bedrooms_surface,rooms_bathrooms_number,rooms_toilets_number,rooms_laundry_room,rooms_office_presence,rooms_office_surface,rooms_basement_presence,rooms_basement_surface,rooms_attic,extras_open_fire,exterior_terrace_presence,exterior_terrace_surface,exterior_terrace_orientation,exterior_garden_presence,exterior_garden_surface,exterior_garden_orientation,exterior_swimming_pool
https://www.immoweb.be/en/classified/ground-floor/for-rent/bruxelles-1/1000/11464477,1000,Bruxelles  1,2700.0,FOR_RENT,RENT_REGULAR,APARTMENT,GROUND_FLOOR,Not specified,,1900,2,,180,3,,,True,11,60,True,Installed,,3,[],1,,True,False,,False,,False,False,True,50,,False,,,False
https://www.immoweb.be/en/classified/house/for-rent/knokke-heist/8300/11440524,8300,Knokke-Heist,1650.0,FOR_RENT,RENT_REGULAR,HOUSE,HOUSE,E,,1974,4,270,158,,Good,"Living area (residential, urban or rural)",False,9,,,False,,3,[],1,2,False,False,,False,,False,False,True,,,False,,,False
https://www.immoweb.be/en/classified/kot/for-rent/antwerpen/2018/11438432,2018,Antwerpen,435.0,FOR_RENT,RENT_REGULAR,APARTMENT,KOT,D,Gas,,2,,20,,,,False,6,,,False,,1,[],1,,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/duplex/for-rent/beersel/1650/11444575,1650,BEERSEL,1500.0,FOR_RENT,RENT_REGULAR,APARTMENT,DUPLEX,Not specified,Gas,,2,,120,2,,,False,7,,,Installed,13,2,"['19', '18']",,,False,False,,True,,False,False,True,14,,False,,,False
https://www.immoweb.be/en/classified/kot/for-rent/gent/9000/11407564,9000,Gent,340.0,FOR_RENT,RENT_REGULAR,APARTMENT,KOT,D,Gas,,,,9,,As new,Fitted out,False,6,,,False,,1,[],,,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/kot/for-rent/libramont-chevigny/6800/10010964,6800,Libramont-Chevigny,280.0,FOR_RENT,RENT_REGULAR,APARTMENT,KOT,B,Fuel oil,,3,,,2,Good,Urban,True,6,,,False,,1,['16'],1,1,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/kot/for-rent/gent/9000/11407910,9000,Gent,555.0,FOR_RENT,RENT_REGULAR,APARTMENT,KOT,B,Gas,,,,18,,As new,Fitted out,False,6,,,False,,1,[],,,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/apartment/for-rent/middelkerke/8430/11360985,8430,MIDDELKERKE,700.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,C,Electric,,,,72,2,Good,,False,7,,,Not installed,,2,[],1,1,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/duplex/for-rent/oostkamp/8020/11367017,8020,Oostkamp,740.0,FOR_RENT,RENT_REGULAR,APARTMENT,DUPLEX,C,Gas,,,,,4,As new,Fitted out,False,8,,,False,,3,[],1,1,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/apartment/for-rent/oostende/8400/11049865,8400,Oostende,625.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,B,,,,,44,4,,,False,6,,,Hyper equipped,,1,[],1,1,False,False,,False,,False,False,True,,,False,,,False
