"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\lkris\OneDrive\Bureau\BeCode\becode_projects\Immo_Eliza\utils\__init__.py", "Python", 0, 2, 4, 6
"c:\Users\lkris\OneDrive\Bureau\BeCode\becode_projects\Immo_Eliza\utils\scrapper.py", "Python", 238, 21, 43, 302
"Total", "-", 238, 23, 47, 308
